t_s,muestra,modo_decision,pose_fuente,ruta_celdas,waypoints_total,waypoint_indice,distancia_waypoint_m,grid_fila,grid_columna,ps0_frontal_der,ps7_frontal_izq,ps2_lateral_der,ps5_lateral_izq,frontal_crudo,frontal_filtrado,frontal_kalman,kalman_ganancia,kalman_p,encoder_izq_rad,encoder_der_rad,avance_ds_m,velocidad_lineal_m_s,velocidad_angular_rad_s,odom_x_m,odom_y_m,odom_theta_rad,valor_decision,vel_motor_izq_rad_s,vel_motor_der_rad_s,accion,bloqueo_contador
0.064,1,kalman,supervisor,16,9,0,0.12199,12,0,63.662,69.984,63.765,66.769,66.823,66.823,66.823,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.21577,-1.13847,1.48597,66.823,4.729,-4.729,GIRAR_A_WAYPOINT,0
0.128,2,kalman,supervisor,16,9,0,0.122,12,0,67.792,67.068,71.729,70.236,67.43,67.127,66.876,0.07563,1.66387,0.30144,-0.29516,6.4e-05,0.00101,-3.67497,-1.21577,-1.13847,1.27121,66.876,3.857,-3.857,GIRAR_A_WAYPOINT,0
0.192,3,kalman,supervisor,16,9,0,0.122,12,0,69.651,65.048,62.721,69.746,67.349,67.201,66.924,0.10071,2.21572,0.54636,-0.54008,-0.0,-0.0,-3.01734,-1.21577,-1.13847,1.09129,66.924,3.127,-3.127,GIRAR_A_WAYPOINT,0
0.256,4,kalman,supervisor,16,9,0,0.122,12,0,62.823,70.805,64.972,63.387,66.814,67.104,66.91,0.12055,2.65216,0.74732,-0.74104,0.0,0.0,-2.47577,-1.21577,-1.13848,0.9477,66.91,2.544,-2.544,GIRAR_A_WAYPOINT,0
0.32,5,kalman,supervisor,16,9,0,0.122,12,0,72.76,64.941,63.731,64.206,68.85,67.453,67.174,0.13563,2.98394,0.9106,-0.90432,0.0,0.0,-2.01156,-1.21577,-1.13848,0.83196,67.174,2.074,-2.074,GIRAR_A_WAYPOINT,0
0.384,6,kalman,supervisor,16,9,0,0.122,12,0,66.838,59.887,57.399,69.27,63.362,66.761,66.614,0.14676,3.22862,1.04248,-1.0362,0.0,0.0,-1.62472,-1.21577,-1.13848,0.73912,66.614,1.697,-1.697,GIRAR_A_WAYPOINT,0
0.448,7,kalman,supervisor,16,9,0,0.122,12,0,67.056,64.992,71.894,67.641,66.024,66.48,66.523,0.15478,3.40509,1.14924,-1.14296,0.0,0.0,-1.31525,-1.21577,-1.13849,0.66401,66.523,3.587,0.803,SEGUIR_RUTA,1
0.512,8,kalman,supervisor,16,9,0,0.11939,12,0,71.162,72.535,67.127,54.668,71.849,67.38,67.669,0.16047,3.5303,1.3816,-1.09272,0.002897,0.04526,-1.12183,-1.21357,-1.13683,0.59987,67.669,3.357,1.033,SEGUIR_RUTA,0
0.576,9,kalman,supervisor,16,9,0,0.11667,12,0,70.143,68.788,61.354,64.642,69.465,67.91,68.249,0.16446,3.61814,1.59512,-1.02992,0.002832,0.04425,-0.92841,-1.21121,-1.13528,0.54876,68.249,3.175,1.215,SEGUIR_RUTA,0
0.64,10,kalman,supervisor,16,9,0,0.11393,12,0,63.284,63.746,74.12,70.782,63.515,66.843,67.747,0.16724,3.67925,1.79608,-0.94828,0.002897,0.04526,-0.73499,-1.20879,-1.13386,0.50553,67.747,3.022,1.368,SEGUIR_RUTA,0
0.704,11,kalman,supervisor,16,9,0,0.11118,12,0,68.098,66.564,69.68,65.622,67.331,67.637,67.965,0.16916,3.72154,1.99076,-0.86036,0.002897,0.04526,-0.65763,-1.20631,-1.13254,0.46889,67.965,2.893,1.497,SEGUIR_RUTA,0
0.768,12,kalman,supervisor,16,9,0,0.10842,12,0,68.155,73.454,60.339,66.996,70.805,68.593,68.737,0.17049,3.75068,2.17916,-0.76616,0.002897,0.04526,-0.58026,-1.2038,-1.13131,0.43785,68.737,2.783,1.607,SEGUIR_RUTA,0
0.832,13,kalman,supervisor,16,9,0,0.10564,12,0,66.619,68.489,62.182,72.358,67.554,67.734,68.816,0.1714,3.77071,2.355,-0.66568,0.002832,0.04425,-0.46421,-1.20125,-1.13015,0.41157,68.816,2.691,1.699,SEGUIR_RUTA,0
0.896,14,kalman,supervisor,16,9,0,0.10287,12,1,69.809,69.763,66.024,70.967,69.786,67.798,69.271,0.17202,3.78446,2.52456,-0.55264,0.002897,0.04526,-0.34816,-1.19868,-1.12906,0.38933,69.271,2.613,1.777,SEGUIR_RUTA,0
0.96,15,kalman,supervisor,16,9,0,0.10008,12,1,67.51,65.362,69.295,68.284,66.436,68.382,69.07,0.17245,3.79387,2.69412,-0.4396,0.002897,0.04526,-0.34816,-1.19608,-1.12802,0.37053,69.07,2.547,1.843,SEGUIR_RUTA,0
1.024,16,kalman,supervisor,16,9,0,0.09729,12,1,72.056,63.584,67.125,62.728,67.82,68.48,69.135,0.17274,3.80032,2.8574,-0.32656,0.002832,0.04425,-0.30947,-1.19346,-1.12702,0.35465,69.135,2.492,1.898,SEGUIR_RUTA,0
1.088,17,kalman,supervisor,16,9,0,0.0945,12,1,61.21,67.347,69.334,69.812,64.278,67.175,68.583,0.17294,3.80473,3.0144,-0.20096,0.002897,0.04526,-0.19342,-1.19083,-1.12607,0.34124,68.583,2.446,1.944,SEGUIR_RUTA,0
1.152,18,kalman,supervisor,16,9,0,0.0917,12,1,62.1,67.006,63.979,69.308,64.553,66.575,68.173,0.17308,3.80775,3.1714,-0.07536,0.002897,0.04526,-0.19342,-1.18818,-1.12514,0.32991,68.173,2.407,1.983,SEGUIR_RUTA,0
1.216,19,kalman,supervisor,16,9,0,0.0889,12,1,67.686,64.656,67.936,66.03,66.171,65.852,68.107,0.17317,3.80981,3.3284,0.04396,0.002832,0.04425,-0.2321,-1.18553,-1.12425,0.32035,68.107,2.374,2.016,SEGUIR_RUTA,0
1.28,20,kalman,supervisor,16,9,0,0.0861,12,1,63.675,70.418,65.771,69.959,67.046,65.974,68.204,0.17324,3.81122,3.47912,0.16956,0.002832,0.04425,-0.15474,-1.18286,-1.12338,0.31226,68.204,2.346,2.044,SEGUIR_RUTA,0
1.344,21,kalman,supervisor,16,9,0,0.08329,12,1,67.986,65.157,62.879,57.993,66.572,65.724,68.209,0.17328,3.81218,3.62984,0.30144,0.002897,0.04526,-0.11605,-1.18019,-1.12252,0.30543,68.209,2.323,2.067,SEGUIR_RUTA,0
1.408,22,kalman,supervisor,16,9,0,0.08049,12,1,67.522,68.806,68.002,66.481,68.164,66.501,68.488,0.17331,3.81284,3.78056,0.43332,0.002897,0.04526,-0.11605,-1.17751,-1.12169,0.29965,68.488,2.304,2.086,SEGUIR_RUTA,0
1.472,23,kalman,supervisor,16,9,1,0.07768,12,1,63.595,71.372,62.485,70.073,67.483,67.087,68.595,0.17333,3.81329,3.925,0.5652,0.002832,0.04425,-0.07737,-1.17482,-1.12087,0.29474,68.595,-1.551,1.551,GIRAR_A_WAYPOINT,0
1.536,24,kalman,supervisor,16,9,1,0.35259,12,1,70.303,59.78,72.245,63.788,65.041,66.861,67.979,0.17335,3.8136,3.82452,0.66568,0.0,0.0,1.23788,-1.17482,-1.12089,0.36456,67.979,0.927,3.463,SEGUIR_RUTA,1
1.6,25,kalman,supervisor,16,9,1,0.34993,12,1,61.14,67.007,66.468,64.542,64.073,66.267,67.596,0.17335,3.81381,3.88732,0.89176,0.002961,0.04627,1.00578,-1.17228,-1.11981,0.42458,67.596,1.162,3.228,SEGUIR_RUTA,0
1.664,26,kalman,supervisor,16,9,1,0.34719,12,1,61.605,71.001,70.115,69.849,66.303,66.213,67.652,0.17336,3.81395,3.96268,1.09272,0.002832,0.04425,0.77368,-1.16973,-1.11861,0.47143,67.652,1.344,3.046,SEGUIR_RUTA,0
1.728,27,kalman,supervisor,16,9,1,0.34443,12,1,71.002,64.194,69.049,68.786,67.598,66.1,67.924,0.17337,3.81405,4.04432,1.2874,0.002832,0.04425,0.69631,-1.16725,-1.11728,0.50996,67.924,1.494,2.896,SEGUIR_RUTA,0
1.792,28,kalman,supervisor,16,9,1,0.34165,12,1,66.049,61.029,64.085,64.002,63.539,65.311,67.451,0.17337,3.81412,4.13852,1.4758,0.002897,0.04526,0.58026,-1.16481,-1.11587,0.54162,67.451,1.618,2.773,SEGUIR_RUTA,0
1.856,29,kalman,supervisor,16,9,1,0.33886,12,1,68.194,77.661,64.706,69.33,72.928,66.888,68.688,0.17337,3.81416,4.24528,1.65164,0.002897,0.04526,0.42552,-1.16243,-1.11439,0.56762,68.688,1.719,2.671,SEGUIR_RUTA,0
1.92,30,kalman,supervisor,16,9,1,0.33607,12,1,67.39,71.83,68.031,75.06,69.61,67.995,69.129,0.17337,3.81419,4.35204,1.8212,0.002832,0.04425,0.38684,-1.16008,-1.11285,0.58901,69.129,1.802,2.588,SEGUIR_RUTA,0
1.984,31,kalman,supervisor,16,9,1,0.33328,12,1,109.786,67.687,68.106,65.849,88.737,72.482,72.822,0.17337,3.81422,4.47136,1.99076,0.002961,0.04627,0.30947,-1.15776,-1.11127,0.60662,72.822,1.871,2.52,SEGUIR_RUTA,0
2.048,32,kalman,supervisor,16,9,1,0.33048,12,1,114.587,71.62,64.98,60.444,93.103,77.583,76.619,0.17337,3.81423,4.59068,2.14776,0.002832,0.04425,0.2321,-1.15546,-1.10965,0.62115,76.619,1.927,2.463,SEGUIR_RUTA,0
