ps0_FD;ps1_DD;ps2_LD;ps3_TD;ps4_TI;ps5_LI;ps6_DI;ps7_FI;Theta_Izq_rad;Theta_Der_rad;DeltaS_Izq_m;DeltaS_Der_m;AvanceLineal_m;GiroAngular_rad;VelLineal_ms;VelAngular_rads;timestamp_s
63.661986;69.729024;108.996887;301.377333;287.906371;112.895431;71.485571;69.983902;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.032
72.760208;68.852901;109.45173;292.623975;297.87328;109.778968;74.827764;64.940512;0.52124;0.52124;0.002704;0.002704;0.002704;0.0;0.084486;0.0;0.16
70.142569;69.067128;101.250509;264.402007;254.053175;104.958046;71.60148;68.788204;1.04248;1.04248;0.002704;0.002704;0.002704;0.0;0.084486;0.0;0.288
66.618849;68.679191;62.182255;155.923051;167.434386;72.358059;67.577608;68.489162;1.56372;1.56372;0.002704;0.002704;0.002704;0.0;0.084486;0.0;0.416
61.209735;66.108018;69.334036;121.283188;122.175936;69.811617;70.837718;67.347199;2.08496;2.08496;0.002575;0.002575;0.002575;0.0;0.080463;0.0;0.544
67.986439;72.492503;62.879302;97.251927;106.332906;57.993363;64.403444;65.157181;2.6062;2.6062;0.002575;0.002575;0.002575;0.0;0.080462;0.0;0.672
61.139923;71.626852;66.468208;73.180014;66.328794;64.542007;71.640572;67.006924;3.12744;3.12744;0.002575;0.002575;0.002575;0.0;0.080462;0.0;0.8
68.194469;62.738521;64.705791;64.825852;66.596286;69.330009;72.365209;77.66088;3.65496;3.65496;0.002704;0.002704;0.002704;0.0;0.084486;0.0;0.928
61.083041;64.815663;68.834501;67.671375;70.514008;70.533057;71.233154;62.704265;4.1762;4.1762;0.002704;0.002704;0.002704;0.0;0.084486;0.0;1.056
68.883635;67.968228;59.917594;70.443736;67.74248;61.935876;71.867148;62.97697;4.69744;4.69744;0.002704;0.002704;0.002704;0.0;0.084486;0.0;1.184
