distFD_cruda_m;distFI_cruda_m;distMin_cruda_m;distFD_EMA_m;distFI_EMA_m;distMin_EMA_m;pred_kalman_m;dist_kalman_m;K_kalman;P_kalman;AvanceLineal_m;timestamp_s
0.098445;0.098291;0.098291;0.098445;0.098291;0.098291;0.1;0.098294;0.998502;0.001498;0.0;0.032
0.098223;0.098414;0.098223;0.098351;0.098349;0.098349;0.092053;0.093752;0.269899;0.000405;0.002704;0.16
0.098287;0.09832;0.098287;0.098317;0.098344;0.098317;0.088941;0.091117;0.232109;0.000348;0.002704;0.288
0.098373;0.098327;0.098327;0.098355;0.098325;0.098325;0.087491;0.089957;0.227653;0.000341;0.002704;0.416
0.098505;0.098355;0.098355;0.098369;0.098368;0.098368;0.086936;0.089532;0.22709;0.000341;0.002575;0.544
0.09834;0.098409;0.09834;0.098385;0.098369;0.098369;0.086758;0.089394;0.227019;0.000341;0.002575;0.672
0.098507;0.098364;0.098364;0.098406;0.098382;0.098382;0.086684;0.089339;0.22701;0.000341;0.002575;0.8
0.098335;0.098104;0.098104;0.098369;0.098321;0.098321;0.086542;0.089216;0.227008;0.000341;0.002704;0.928
0.098508;0.098469;0.098469;0.09839;0.098347;0.098347;0.086507;0.089195;0.227008;0.000341;0.002704;1.056
0.098318;0.098462;0.098318;0.098371;0.098346;0.098346;0.086504;0.089192;0.227008;0.000341;0.002704;1.184
0.09852;0.098507;0.098507;0.098408;0.098393;0.098393;0.086535;0.089227;0.227008;0.000341;0.002704;1.312
0.098331;0.098363;0.098331;0.098368;0.098346;0.098346;0.086562;0.089237;0.227008;0.000341;0.002704;1.44
0.098388;0.098285;0.098285;0.098398;0.098345;0.098345;0.086569;0.089243;0.227008;0.000341;0.002704;1.568
0.098286;0.098361;0.098286;0.098361;0.098388;0.098361;0.086596;0.089267;0.227008;0.000341;0.002704;1.696
0.097399;0.098399;0.097399;0.097883;0.09839;0.097883;0.086529;0.089106;0.227008;0.000341;0.002704;1.824
0.096834;0.098178;0.096834;0.097244;0.098275;0.097244;0.086084;0.088617;0.227008;0.000341;0.002704;1.952
0.094515;0.098291;0.094515;0.095701;0.098329;0.095701;0.085351;0.087701;0.227008;0.000341;0.002575;2.08
0.089687;0.09829;0.089687;0.092124;0.098301;0.092124;0.08539;0.086918;0.227008;0.000341;0.001609;2.208
0.080377;0.098472;0.080377;0.086273;0.098331;0.086273;0.084013;0.084526;0.227008;0.000341;0.001545;2.336
0.082325;0.098405;0.082325;0.083978;0.098364;0.083978;0.080353;0.081176;0.227008;0.000341;0.001545;2.464
0.080941;0.098263;0.080941;0.081781;0.098329;0.081781;0.077563;0.078521;0.227008;0.000341;0.001609;2.592
0.077853;0.098297;0.077853;0.079444;0.098295;0.079444;0.075253;0.076205;0.227008;0.000341;0.001609;2.72
0.076021;0.098316;0.076021;0.077224;0.098309;0.077224;0.072974;0.073939;0.227008;0.000341;0.001545;2.848
0.074006;0.098336;0.074006;0.07501;0.098296;0.07501;0.070627;0.071622;0.227008;0.000341;0.001545;2.976
0.071598;0.098405;0.071598;0.072786;0.09836;0.072786;0.068375;0.069377;0.227008;0.000341;0.001609;3.104
0.098333;0.098411;0.098333;0.092196;0.098368;0.092196;0.073864;0.078025;0.227008;0.000341;0.001609;3.232
0.098382;0.098506;0.098382;0.096871;0.09841;0.096871;0.082961;0.086119;0.227008;0.000341;0.001545;3.36
0.098395;0.098447;0.098395;0.097991;0.098392;0.097991;0.087853;0.090154;0.227008;0.000341;0.001545;3.488
0.098338;0.098482;0.098338;0.09826;0.098431;0.09826;0.090052;0.091915;0.227008;0.000341;0.001609;3.616
0.098362;0.09822;0.09822;0.098352;0.098355;0.098352;0.090947;0.092628;0.227008;0.000341;0.001545;3.744
0.09841;0.098361;0.098361;0.098353;0.098346;0.098346;0.091284;0.092887;0.227008;0.000341;0.001545;3.872
0.098323;0.098281;0.098281;0.098377;0.098356;0.098356;0.091366;0.092953;0.227008;0.000341;0.001609;4.0
0.098287;0.098458;0.098287;0.09834;0.098413;0.09834;0.09143;0.092999;0.227008;0.000341;0.001609;4.128
0.098326;0.098406;0.098326;0.098357;0.098394;0.098357;0.091459;0.093025;0.227008;0.000341;0.001545;4.256
0.098368;0.098428;0.098368;0.098354;0.098396;0.098354;0.091485;0.093044;0.227008;0.000341;0.001545;4.384
0.098304;0.098313;0.098304;0.09834;0.09834;0.09834;0.091433;0.093001;0.227008;0.000341;0.001609;4.512
0.098375;0.098299;0.098299;0.098346;0.098357;0.098346;0.091414;0.092988;0.227008;0.000341;0.001609;4.64
0.098455;0.098282;0.098282;0.098347;0.098361;0.098347;0.089133;0.091225;0.227008;0.000341;0.002382;4.768
0.098315;0.09849;0.098315;0.098316;0.098416;0.098316;0.088038;0.090371;0.227008;0.000341;0.002446;4.896
0.098382;0.098387;0.098382;0.098374;0.098399;0.098374;0.087374;0.089871;0.227008;0.000341;0.002575;5.024
0.098412;0.09845;0.098412;0.098365;0.098416;0.098365;0.08703;0.089603;0.227008;0.000341;0.002639;5.152
0.098373;0.098315;0.098315;0.098408;0.098309;0.098309;0.086862;0.08946;0.227008;0.000341;0.002639;5.28
0.098407;0.098379;0.098379;0.098397;0.098311;0.098311;0.086697;0.089333;0.227008;0.000341;0.002639;5.408
0.098448;0.098235;0.098235;0.098379;0.098344;0.098344;0.086642;0.089298;0.227008;0.000341;0.002704;5.536
0.098281;0.098445;0.098281;0.098351;0.098366;0.098351;0.086659;0.089313;0.227008;0.000341;0.002575;5.664
0.09842;0.098517;0.09842;0.098349;0.098395;0.098349;0.086553;0.089231;0.227008;0.000341;0.002704;5.792
0.098439;0.09837;0.09837;0.09838;0.098365;0.098365;0.086604;0.089274;0.227008;0.000341;0.002639;5.92
0.098449;0.098455;0.098449;0.098375;0.098387;0.098375;0.086612;0.089282;0.227008;0.000341;0.002639;6.048
0.098384;0.098338;0.098338;0.098392;0.098372;0.098372;0.08656;0.089241;0.227008;0.000341;0.002704;6.176
0.098286;0.098292;0.098286;0.09838;0.098367;0.098367;0.086585;0.08926;0.227008;0.000341;0.002704;6.304
0.098306;0.098329;0.098306;0.098366;0.098388;0.098366;0.086591;0.089264;0.227008;0.000341;0.002704;6.432
0.0983;0.09828;0.09828;0.098352;0.098334;0.098334;0.086593;0.089259;0.227008;0.000341;0.002639;6.56
