PoseX_m;PoseY_m;PosePhi_rad;IndiceWaypoint;WP_X_m;WP_Y_m;DistWaypoint_m;ErrorAngular_rad;EstadoArbitro;timestamp_s
-0.45;-0.45;0.785398;1;0.45;0.45;1.272792;0.0;waypoint;0.032
-0.442444;-0.442444;0.785398;1;0.45;0.45;1.262107;0.0;waypoint;0.16
-0.434889;-0.434889;0.785398;1;0.45;0.45;1.251421;0.0;waypoint;0.288
-0.427333;-0.427333;0.785398;1;0.45;0.45;1.240736;0.0;waypoint;0.416
-0.419777;-0.419777;0.785398;1;0.45;0.45;1.230051;0.0;waypoint;0.544
-0.412221;-0.412221;0.785398;1;0.45;0.45;1.219365;0.0;waypoint;0.672
-0.404666;-0.404666;0.785398;1;0.45;0.45;1.20868;0.0;waypoint;0.8
-0.397019;-0.397019;0.785398;1;0.45;0.45;1.197866;0.0;waypoint;0.928
-0.389463;-0.389463;0.785398;1;0.45;0.45;1.18718;0.0;waypoint;1.056
-0.381907;-0.381907;0.785398;1;0.45;0.45;1.176495;0.0;waypoint;1.184
-0.374352;-0.374352;0.785398;1;0.45;0.45;1.165809;0.0;waypoint;1.312
-0.366796;-0.366796;0.785398;1;0.45;0.45;1.155124;0.0;waypoint;1.44
-0.35924;-0.35924;0.785398;1;0.45;0.45;1.144438;0.0;waypoint;1.568
-0.351684;-0.351684;0.785398;1;0.45;0.45;1.133753;0.0;waypoint;1.696
-0.344129;-0.344129;0.785398;1;0.45;0.45;1.123068;0.0;waypoint;1.824
-0.336573;-0.336573;0.785398;1;0.45;0.45;1.112382;0.0;waypoint;1.952
-0.329017;-0.329017;0.785398;1;0.45;0.45;1.101697;0.0;waypoint;2.08
-0.322951;-0.322976;0.773019;1;0.45;0.45;1.093136;0.012395;bypass;2.208
-0.318469;-0.318722;0.748261;1;0.45;0.45;1.086958;0.037301;bypass;2.336
-0.313791;-0.31449;0.723504;1;0.45;0.45;1.080658;0.062352;bypass;2.464
-0.309051;-0.310426;0.69627;1;0.45;0.45;1.074433;0.090033;bypass;2.592
-0.304164;-0.306438;0.671513;1;0.45;0.45;1.068158;0.115391;bypass;2.72
-0.299276;-0.302657;0.646755;1;0.45;0.45;1.06203;0.140894;bypass;2.848
-0.294193;-0.298921;0.621997;1;0.45;0.45;1.055797;0.166567;bypass;2.976
-0.289066;-0.295358;0.594764;1;0.45;0.45;1.049656;0.194873;bypass;3.104
-0.2838;-0.291885;0.570006;1;0.45;0.45;1.043483;0.220871;bypass;3.232
-0.278556;-0.288616;0.545248;1;0.45;0.45;1.037472;0.247006;bypass;3.36
-0.273121;-0.285414;0.520491;1;0.45;0.45;1.031377;0.273336;bypass;3.488
-0.267663;-0.282382;0.493257;1;0.45;0.45;1.02539;0.302291;bypass;3.616
-0.26213;-0.279489;0.470975;1;0.45;0.45;1.019452;0.326463;bypass;3.744
-0.256526;-0.276737;0.443742;1;0.45;0.45;1.01357;0.355757;bypass;3.872
-0.250795;-0.274099;0.418984;1;0.45;0.45;1.007687;0.382767;bypass;4.0
-0.245058;-0.271636;0.391751;1;0.45;0.45;1.00193;0.412405;bypass;4.128
-0.239262;-0.269315;0.369469;1;0.45;0.45;0.996241;0.437262;bypass;4.256
-0.233408;-0.267145;0.342235;1;0.45;0.45;0.990627;0.467247;bypass;4.384
-0.227439;-0.265101;0.317478;1;0.45;0.45;0.985035;0.494959;bypass;4.512
-0.221482;-0.263232;0.290244;1;0.45;0.45;0.979586;0.525295;waypoint;4.64
-0.212612;-0.259952;0.411557;1;0.45;0.45;0.971126;0.408318;waypoint;4.768
-0.203738;-0.255543;0.505636;1;0.45;0.45;0.961854;0.317856;waypoint;4.896
-0.194924;-0.250219;0.579909;1;0.45;0.45;0.951963;0.246573;waypoint;5.024
-0.186365;-0.244264;0.634376;1;0.45;0.45;0.941787;0.194508;waypoint;5.152
-0.178065;-0.237847;0.681416;1;0.45;0.45;0.93145;0.149381;waypoint;5.28
-0.169927;-0.231023;0.713601;1;0.45;0.45;0.920924;0.118726;waypoint;5.408
