t_s,muestra,modo_decision,pose_fuente,ruta_celdas,waypoints_total,waypoint_indice,distancia_waypoint_m,grid_fila,grid_columna,ps0_frontal_der,ps7_frontal_izq,ps2_lateral_der,ps5_lateral_izq,frontal_crudo,frontal_filtrado,frontal_kalman,kalman_ganancia,kalman_p,encoder_izq_rad,encoder_der_rad,avance_ds_m,velocidad_lineal_m_s,velocidad_angular_rad_s,odom_x_m,odom_y_m,odom_theta_rad,valor_decision,vel_motor_izq_rad_s,vel_motor_der_rad_s,accion,bloqueo_contador
0.064,1,kalman,supervisor,0,0,-1,,,,63.662,69.984,63.765,66.769,66.823,66.823,66.823,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.21577,-1.13847,1.48597,66.823,4.0,4.0,AVANZAR,1
0.128,2,kalman,supervisor,0,0,-1,,,,67.792,67.068,71.729,70.236,67.43,67.127,67.454,0.07563,1.66387,0.25748,0.25748,0.005278,0.08247,0.0,-1.21534,-1.13337,1.48597,67.454,4.0,4.0,AVANZAR,0
0.192,3,kalman,supervisor,0,0,-1,,,,69.651,65.048,62.721,69.746,67.349,67.201,68.0,0.10071,2.21572,0.50868,0.50868,0.00515,0.08046,0.0,-1.2149,-1.12827,1.48597,68.0,4.0,4.0,AVANZAR,0
0.256,4,kalman,supervisor,0,0,-1,,,,62.823,70.805,64.972,63.387,66.814,67.104,68.414,0.12055,2.65216,0.76616,0.76616,0.005278,0.08247,0.0,-1.21447,-1.12317,1.48597,68.414,4.0,4.0,AVANZAR,0
0.32,5,kalman,supervisor,0,0,-1,,,,72.76,64.941,63.731,64.206,68.85,67.453,69.02,0.13563,2.98394,1.02364,1.02364,0.005278,0.08247,0.0,-1.21403,-1.11806,1.48597,69.02,4.0,4.0,AVANZAR,0
0.384,6,kalman,supervisor,0,0,-1,,,,66.838,59.887,57.399,69.27,63.362,66.761,68.73,0.14676,3.22862,1.28112,1.28112,0.005278,0.08247,0.0,-1.2136,-1.11296,1.48597,68.73,4.0,4.0,AVANZAR,0
0.448,7,kalman,supervisor,0,0,-1,,,,67.056,64.992,71.894,67.641,66.024,66.48,68.834,0.15478,3.40509,1.53232,1.53232,0.00515,0.08046,0.0,-1.21317,-1.10786,1.48597,68.834,4.0,4.0,AVANZAR,0
0.512,8,kalman,supervisor,0,0,-1,,,,71.162,72.535,67.127,54.668,71.849,67.38,69.849,0.16047,3.5303,1.7898,1.7898,0.005278,0.08247,0.0,-1.21273,-1.10276,1.48597,69.849,4.0,4.0,AVANZAR,0
0.576,9,kalman,supervisor,0,0,-1,,,,70.143,68.788,61.354,64.642,69.465,67.91,70.315,0.16446,3.61814,2.04728,2.04728,0.005278,0.08247,0.0,-1.2123,-1.09766,1.48597,70.315,4.0,4.0,AVANZAR,0
0.64,10,kalman,supervisor,0,0,-1,,,,63.284,63.746,74.12,70.782,63.515,66.843,69.693,0.16724,3.67925,2.29848,2.29848,0.00515,0.08046,0.0,-1.21187,-1.09256,1.48597,69.693,4.0,4.0,AVANZAR,0
0.704,11,kalman,supervisor,0,0,-1,,,,68.098,66.564,69.68,65.622,67.331,67.637,69.82,0.16916,3.72154,2.55596,2.55596,0.005278,0.08247,0.0,-1.21143,-1.08745,1.48597,69.82,4.0,4.0,AVANZAR,0
