t_s,muestra,modo_decision,pose_fuente,ruta_celdas,waypoints_total,waypoint_indice,distancia_waypoint_m,grid_fila,grid_columna,ps0_frontal_der,ps7_frontal_izq,ps2_lateral_der,ps5_lateral_izq,frontal_crudo,frontal_filtrado,frontal_kalman,kalman_ganancia,kalman_p,encoder_izq_rad,encoder_der_rad,avance_ds_m,velocidad_lineal_m_s,velocidad_angular_rad_s,odom_x_m,odom_y_m,odom_theta_rad,valor_decision,vel_motor_izq_rad_s,vel_motor_der_rad_s,accion,bloqueo_contador
0.064,1,kalman,supervisor,0,0,-1,,25,1,63.662,69.984,63.765,66.769,66.823,66.823,66.823,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.21577,-1.13847,1.48597,66.823,3.0,3.0,AVANZAR,1
0.128,2,kalman,supervisor,0,0,-1,,25,1,67.792,67.068,71.729,70.236,67.43,67.127,67.312,0.07563,1.66387,0.19468,0.19468,0.003991,0.06236,0.0,-1.21544,-1.13464,1.48597,67.312,3.0,3.0,AVANZAR,0
0.192,3,kalman,supervisor,0,0,-1,,25,1,69.651,65.048,62.721,69.746,67.349,67.201,67.732,0.10071,2.21572,0.38308,0.38308,0.003862,0.06035,0.0,-1.21512,-1.13082,1.48597,67.732,3.0,3.0,AVANZAR,0
0.256,4,kalman,supervisor,0,0,-1,,25,1,62.823,70.805,64.972,63.387,66.814,67.104,68.043,0.12055,2.65216,0.57776,0.57776,0.003991,0.06236,0.0,-1.21479,-1.12699,1.48597,68.043,3.0,3.0,AVANZAR,0
0.32,5,kalman,supervisor,0,0,-1,,25,1,72.76,64.941,63.731,71.341,68.85,67.453,68.553,0.13563,2.98394,0.76616,0.76616,0.003862,0.06035,0.0,-1.21447,-1.12317,1.48597,68.553,3.0,3.0,AVANZAR,0
0.384,6,kalman,supervisor,0,0,-1,,25,1,66.838,59.887,57.399,69.27,63.362,66.761,68.2,0.14676,3.22862,0.96084,0.96084,0.003991,0.06236,0.0,-1.21414,-1.11934,1.48597,68.2,3.0,3.0,AVANZAR,0
0.448,7,kalman,supervisor,0,0,-1,,25,1,67.056,64.992,71.894,67.641,66.024,66.48,68.255,0.15478,3.40509,1.14924,1.14924,0.003862,0.06035,0.0,-1.21382,-1.11551,1.48597,68.255,3.0,3.0,AVANZAR,0
0.512,8,kalman,supervisor,0,0,-1,,25,1,71.162,72.535,67.127,54.668,71.849,67.38,69.233,0.16047,3.5303,1.34392,1.34392,0.003991,0.06236,0.0,-1.21349,-1.11169,1.48597,69.233,3.0,3.0,AVANZAR,0
0.576,9,kalman,supervisor,0,0,-1,,25,1,70.143,68.788,61.354,64.642,69.465,67.91,69.659,0.16446,3.61814,1.53232,1.53232,0.003862,0.06035,0.0,-1.21317,-1.10786,1.48597,69.659,3.0,3.0,AVANZAR,0
0.64,10,kalman,supervisor,0,0,-1,,25,1,63.284,63.746,74.12,70.782,63.515,66.843,69.03,0.16724,3.67925,1.727,1.727,0.003991,0.06236,0.0,-1.21284,-1.10403,1.48597,69.03,3.0,3.0,AVANZAR,0
0.704,11,kalman,supervisor,0,0,-1,,25,1,68.098,66.564,69.68,65.622,67.331,67.637,69.128,0.16916,3.72154,1.9154,1.9154,0.003862,0.06035,0.0,-1.21252,-1.10021,1.48597,69.128,3.0,3.0,AVANZAR,0
0.768,12,kalman,supervisor,0,0,-1,,24,1,68.155,73.454,60.339,69.894,70.805,68.593,69.811,0.17049,3.75068,2.11008,2.11008,0.003991,0.06236,0.0,-1.21219,-1.09638,1.48597,69.811,3.0,3.0,AVANZAR,0
0.832,13,kalman,supervisor,0,0,-1,,24,1,66.619,68.489,62.182,72.358,67.554,67.734,69.821,0.1714,3.77071,2.30476,2.30476,0.003991,0.06236,0.0,-1.21187,-1.09256,1.48597,69.821,3.0,3.0,AVANZAR,0
0.896,14,kalman,supervisor,0,0,-1,,24,1,69.809,69.763,66.024,70.967,69.786,67.798,70.199,0.17202,3.78446,2.49316,2.49316,0.003862,0.06035,0.0,-1.21154,-1.08873,1.48597,70.199,3.0,3.0,AVANZAR,0
0.96,15,kalman,supervisor,0,0,-1,,24,1,67.51,65.362,69.295,68.284,66.436,68.382,69.946,0.17245,3.79387,2.68784,2.68784,0.003991,0.06236,0.0,-1.21122,-1.0849,1.48597,69.946,3.0,3.0,AVANZAR,0
1.024,16,kalman,supervisor,0,0,-1,,24,1,72.056,63.584,67.125,62.728,67.82,68.48,69.962,0.17274,3.80032,2.87624,2.87624,0.003862,0.06035,0.0,-1.21089,-1.08108,1.48597,69.962,3.0,3.0,AVANZAR,0
1.088,17,kalman,supervisor,0,0,-1,,24,1,61.21,67.347,69.334,69.812,64.278,67.175,69.375,0.17294,3.80473,3.07092,3.07092,0.003991,0.06236,0.0,-1.21056,-1.07725,1.48597,69.375,3.0,3.0,AVANZAR,0
1.152,18,kalman,supervisor,0,0,-1,,24,1,62.1,67.006,63.979,69.308,64.553,66.575,68.924,0.17308,3.80775,3.25932,3.25932,0.003862,0.06035,0.0,-1.21024,-1.07342,1.48597,68.924,3.0,3.0,AVANZAR,0
1.216,19,kalman,supervisor,0,0,-1,,24,1,67.686,64.656,67.936,66.03,66.171,65.852,68.843,0.17317,3.80981,3.454,3.454,0.003991,0.06236,0.0,-1.20991,-1.0696,1.48597,68.843,3.0,3.0,AVANZAR,0
1.28,20,kalman,supervisor,0,0,-1,,24,1,63.675,70.418,65.771,69.959,67.046,65.974,68.915,0.17324,3.81122,3.6424,3.6424,0.003862,0.06035,0.0,-1.20959,-1.06577,1.48597,68.915,3.0,3.0,AVANZAR,0
1.344,21,kalman,supervisor,0,0,-1,,24,1,67.986,65.157,62.879,57.993,66.572,65.724,68.905,0.17328,3.81218,3.83708,3.83708,0.003991,0.06236,0.0,-1.20926,-1.06195,1.48597,68.905,3.0,3.0,AVANZAR,0
1.408,22,kalman,supervisor,0,0,-1,,24,1,67.522,68.806,68.002,66.481,68.164,66.501,69.172,0.17331,3.81284,4.03176,4.03176,0.003991,0.06236,0.0,-1.20894,-1.05812,1.48597,69.172,3.0,3.0,AVANZAR,0
1.472,23,kalman,supervisor,0,0,-1,,24,1,63.595,71.372,62.485,70.073,67.483,67.087,69.263,0.17333,3.81329,4.22016,4.22016,0.003862,0.06035,0.0,-1.20861,-1.05429,1.48597,69.263,3.0,3.0,AVANZAR,0
1.536,24,kalman,supervisor,0,0,-1,,24,1,70.303,59.78,72.245,63.788,65.041,66.861,68.927,0.17335,3.8136,4.41484,4.41484,0.003991,0.06236,0.0,-1.20829,-1.05047,1.48597,68.927,3.0,3.0,AVANZAR,0
1.6,25,kalman,supervisor,0,0,-1,,24,1,61.14,67.007,66.468,64.542,64.073,66.267,68.469,0.17335,3.81381,4.60324,4.60324,0.003862,0.06035,0.0,-1.20796,-1.04664,1.48597,68.469,3.0,3.0,AVANZAR,0
1.664,26,kalman,supervisor,0,0,-1,,24,1,61.605,71.001,70.115,69.849,66.303,66.213,68.489,0.17336,3.81395,4.79792,4.79792,0.003991,0.06236,0.0,-1.20764,-1.04282,1.48597,68.489,3.0,3.0,AVANZAR,0
1.728,27,kalman,supervisor,0,0,-1,,24,1,71.002,64.194,69.049,68.786,67.598,66.1,68.718,0.17337,3.81405,4.98632,4.98632,0.003862,0.06035,0.0,-1.20731,-1.03899,1.48597,68.718,3.0,3.0,AVANZAR,0
1.792,28,kalman,supervisor,0,0,-1,,24,1,66.049,61.029,64.085,64.002,63.539,65.311,68.216,0.17337,3.81412,5.181,5.181,0.003991,0.06236,0.0,-1.20699,-1.03516,1.48597,68.216,3.0,3.0,AVANZAR,0
1.856,29,kalman,supervisor,0,0,-1,,24,1,68.194,77.661,64.706,69.33,72.928,66.888,69.416,0.17337,3.81416,5.3694,5.3694,0.003862,0.06035,0.0,-1.20666,-1.03134,1.48597,69.416,3.0,3.0,AVANZAR,0
1.92,30,kalman,supervisor,0,0,-1,,24,1,67.39,71.83,68.031,75.06,69.61,67.995,69.845,0.17337,3.81419,5.56408,5.56408,0.003991,0.06236,0.0,-1.20633,-1.02751,1.48597,69.845,3.0,3.0,AVANZAR,0
1.984,31,kalman,supervisor,0,0,-1,,24,1,70.059,67.687,68.106,65.849,68.873,68.51,70.06,0.17337,3.81422,5.75248,5.75248,0.003862,0.06035,0.0,-1.20601,-1.02368,1.48597,70.06,3.0,3.0,AVANZAR,0
2.048,32,kalman,supervisor,0,0,-1,,24,1,68.266,71.62,64.98,60.444,69.943,68.978,70.435,0.17337,3.81423,5.94716,5.94716,0.003991,0.06236,0.0,-1.20568,-1.01986,1.48597,70.435,3.0,3.0,AVANZAR,0
2.112,33,kalman,supervisor,0,0,-1,,24,1,61.083,62.704,68.835,70.533,61.894,68.649,69.35,0.17337,3.81424,6.14184,6.14184,0.003991,0.06236,0.0,-1.20536,-1.01603,1.48597,69.35,3.0,3.0,AVANZAR,0
2.176,34,kalman,supervisor,0,0,-1,,24,1,67.843,70.896,66.535,65.147,69.37,67.938,69.737,0.17337,3.81425,6.33024,6.33024,0.003862,0.06035,0.0,-1.20503,-1.01221,1.48597,69.737,3.0,3.0,AVANZAR,0
2.24,35,kalman,supervisor,0,0,-1,,24,1,66.705,68.107,68.457,63.887,67.406,67.497,69.729,0.17338,3.81425,6.52492,6.52492,0.003991,0.06236,0.0,-1.20471,-1.00838,1.48597,69.729,3.0,3.0,AVANZAR,0
2.304,36,kalman,supervisor,0,0,-1,,24,1,63.93,72.795,65.589,57.557,68.363,67.395,69.875,0.17338,3.81425,6.71332,6.71332,0.003862,0.06035,0.0,-1.20438,-1.00455,1.48597,69.875,3.0,3.0,AVANZAR,0
2.368,37,kalman,supervisor,0,0,-1,,24,1,68.884,62.977,59.918,61.936,65.93,66.592,69.587,0.17338,3.81426,6.908,6.908,0.003991,0.06236,0.0,-1.20406,-1.00073,1.48597,69.587,3.0,3.0,AVANZAR,0
